"시점","행정구역별(1)","동물치료기관별(1)",데이터
"2011","충북","야생동물 구조센터",0
"2011","충남","계",19
"2011","충남","동물병원",17
"2011","충남","관리단체 또는 축산관련 기관",1
"2011","충남","야생동물 구조센터",1
"2011","전북","계",19
"2011","전북","동물병원",19
"2011","전북","관리단체 또는 축산관련 기관",0
"2011","전북","야생동물 구조센터",0
"2011","전남","계",17
"2011","전남","동물병원",16
"2011","전남","관리단체 또는 축산관련 기관",0
"2011","전남","야생동물 구조센터",1
"2011","경북","계",32
"2011","경북","동물병원",30
"2011","경북","관리단체 또는 축산관련 기관",0
"2011","경북","야생동물 구조센터",2
"2011","경남","계",19
"2011","경남","동물병원",18
"2011","경남","관리단체 또는 축산관련 기관",0
"2011","경남","야생동물 구조센터",1
"2011","제주","계",6
"2011","제주","동물병원",5
"2011","제주","관리단체 또는 축산관련 기관",0
"2011","제주","야생동물 구조센터",1
"2012","전국","계",241
"2012","전국","동물병원",212
"2012","전국","관리단체 또는 축산관련 기관",8
"2012","전국","야생동물 구조센터",21
"2012","서울","계",23
"2012","서울","동물병원",21
"2012","서울","관리단체 또는 축산관련 기관",0
"2012","서울","야생동물 구조센터",2
"2012","부산","계",14
"2012","부산","동물병원",13
"2012","부산","관리단체 또는 축산관련 기관",0
"2012","부산","야생동물 구조센터",1
"2012","대구","계",10
"2012","대구","동물병원",9
"2012","대구","관리단체 또는 축산관련 기관",0
"2012","대구","야생동물 구조센터",1
"2012","인천","계",5
"2012","인천","동물병원",5
"2012","인천","관리단체 또는 축산관련 기관",0
"2012","인천","야생동물 구조센터",0
"2012","광주","계",4
"2012","광주","동물병원",4
"2012","광주","관리단체 또는 축산관련 기관",0
"2012","광주","야생동물 구조센터",0
"2012","대전","계",5
"2012","대전","동물병원",5
"2012","대전","관리단체 또는 축산관련 기관",0
"2012","대전","야생동물 구조센터",0
"2012","울산","계",5
"2012","울산","동물병원",4
"2012","울산","관리단체 또는 축산관련 기관",0
"2012","울산","야생동물 구조센터",1
"2012","경기","계",34
"2012","경기","동물병원",32
"2012","경기","관리단체 또는 축산관련 기관",0
"2012","경기","야생동물 구조센터",2
"2012","강원","계",18
"2012","강원","동물병원",11
"2012","강원","관리단체 또는 축산관련 기관",5
"2012","강원","야생동물 구조센터",2
"2012","충북","계",11
"2012","충북","동물병원",7
"2012","충북","관리단체 또는 축산관련 기관",3
"2012","충북","야생동물 구조센터",1
"2012","충남","계",19
"2012","충남","동물병원",17
"2012","충남","관리단체 또는 축산관련 기관",0
"2012","충남","야생동물 구조센터",2
"2012","전북","계",18
"2012","전북","동물병원",16
"2012","전북","관리단체 또는 축산관련 기관",0
"2012","전북","야생동물 구조센터",2
"2012","전남","계",17
"2012","전남","동물병원",15
"2012","전남","관리단체 또는 축산관련 기관",0
"2012","전남","야생동물 구조센터",2
"2012","경북","계",32
"2012","경북","동물병원",30
"2012","경북","관리단체 또는 축산관련 기관",0
"2012","경북","야생동물 구조센터",2
"2012","경남","계",20
"2012","경남","동물병원",18
"2012","경남","관리단체 또는 축산관련 기관",0
"2012","경남","야생동물 구조센터",2
"2012","제주","계",6
"2012","제주","동물병원",5
"2012","제주","관리단체 또는 축산관련 기관",0
"2012","제주","야생동물 구조센터",1
"2013","전국","계",243
"2013","전국","동물병원",214
"2013","전국","관리단체 또는 축산관련 기관",9
"2013","전국","야생동물 구조센터",20
"2013","서울","계",23
"2013","서울","동물병원",21
"2013","서울","관리단체 또는 축산관련 기관",0
"2013","서울","야생동물 구조센터",2
"2013","부산","계",14
"2013","부산","동물병원",13
"2013","부산","관리단체 또는 축산관련 기관",0
"2013","부산","야생동물 구조센터",1
"2013","대구","계",10
"2013","대구","동물병원",9
"2013","대구","관리단체 또는 축산관련 기관",0
"2013","대구","야생동물 구조센터",1
"2013","인천","계",5
"2013","인천","동물병원",5
"2013","인천","관리단체 또는 축산관련 기관",0
"2013","인천","야생동물 구조센터",0
"2013","광주","계",4
"2013","광주","동물병원",4
"2013","광주","관리단체 또는 축산관련 기관",0
"2013","광주","야생동물 구조센터",0
"2013","대전","계",5
"2013","대전","동물병원",5
"2013","대전","관리단체 또는 축산관련 기관",0
"2013","대전","야생동물 구조센터",0
"2013","울산","계",5
"2013","울산","동물병원",4
"2013","울산","관리단체 또는 축산관련 기관",0
"2013","울산","야생동물 구조센터",1
"2013","경기","계",34
"2013","경기","동물병원",32
"2013","경기","관리단체 또는 축산관련 기관",0
"2013","경기","야생동물 구조센터",2
"2013","강원","계",19
"2013","강원","동물병원",11
"2013","강원","관리단체 또는 축산관련 기관",5
"2013","강원","야생동물 구조센터",3
"2013","충북","계",11
"2013","충북","동물병원",7
"2013","충북","관리단체 또는 축산관련 기관",3
"2013","충북","야생동물 구조센터",1
"2013","충남","계",19
"2013","충남","동물병원",17
"2013","충남","관리단체 또는 축산관련 기관",1
"2013","충남","야생동물 구조센터",1
"2013","전북","계",18
"2013","전북","동물병원",16
"2013","전북","관리단체 또는 축산관련 기관",0
"2013","전북","야생동물 구조센터",2
"2013","전남","계",17
"2013","전남","동물병원",16
"2013","전남","관리단체 또는 축산관련 기관",0
"2013","전남","야생동물 구조센터",1
"2013","경북","계",33
"2013","경북","동물병원",31
"2013","경북","관리단체 또는 축산관련 기관",0
"2013","경북","야생동물 구조센터",2
"2013","경남","계",20
"2013","경남","동물병원",18
"2013","경남","관리단체 또는 축산관련 기관",0
"2013","경남","야생동물 구조센터",2
"2013","제주","계",6
"2013","제주","동물병원",5
"2013","제주","관리단체 또는 축산관련 기관",0
"2013","제주","야생동물 구조센터",1
"2014","전국","계",246
"2014","전국","동물병원",215
"2014","전국","관리단체 또는 축산관련 기관",8
"2014","전국","야생동물 구조센터",23
"2014","서울","계",23
"2014","서울","동물병원",21
"2014","서울","관리단체 또는 축산관련 기관",0
"2014","서울","야생동물 구조센터",2
"2014","부산","계",14
"2014","부산","동물병원",13
"2014","부산","관리단체 또는 축산관련 기관",0
"2014","부산","야생동물 구조센터",1
"2014","대구","계",10
"2014","대구","동물병원",9
"2014","대구","관리단체 또는 축산관련 기관",0
"2014","대구","야생동물 구조센터",1
"2014","인천","계",5
"2014","인천","동물병원",5
"2014","인천","관리단체 또는 축산관련 기관",0
"2014","인천","야생동물 구조센터",0
"2014","광주","계",4
"2014","광주","동물병원",4
"2014","광주","관리단체 또는 축산관련 기관",0
"2014","광주","야생동물 구조센터",0
"2014","대전","계",5
"2014","대전","동물병원",5
"2014","대전","관리단체 또는 축산관련 기관",0
"2014","대전","야생동물 구조센터",0
"2014","울산","계",5
"2014","울산","동물병원",4
"2014","울산","관리단체 또는 축산관련 기관",0
"2014","울산","야생동물 구조센터",1
"2014","경기","계",34
"2014","경기","동물병원",32
"2014","경기","관리단체 또는 축산관련 기관",0
"2014","경기","야생동물 구조센터",2
"2014","강원","계",20
"2014","강원","동물병원",12
"2014","강원","관리단체 또는 축산관련 기관",5
"2014","강원","야생동물 구조센터",3
"2014","충북","계",11
"2014","충북","동물병원",7
"2014","충북","관리단체 또는 축산관련 기관",3
"2014","충북","야생동물 구조센터",1
"2014","충남","계",19
"2014","충남","동물병원",17
"2014","충남","관리단체 또는 축산관련 기관",0
"2014","충남","야생동물 구조센터",2
"2014","전북","계",19
"2014","전북","동물병원",17
"2014","전북","관리단체 또는 축산관련 기관",0
"2014","전북","야생동물 구조센터",2
"2014","전남","계",17
"2014","전남","동물병원",15
"2014","전남","관리단체 또는 축산관련 기관",0
"2014","전남","야생동물 구조센터",2
"2014","경북","계",34
"2014","경북","동물병원",32
"2014","경북","관리단체 또는 축산관련 기관",0
"2014","경북","야생동물 구조센터",2
"2014","경남","계",20
"2014","경남","동물병원",17
"2014","경남","관리단체 또는 축산관련 기관",0
"2014","경남","야생동물 구조센터",3
"2014","제주","계",6
"2014","제주","동물병원",5
"2014","제주","관리단체 또는 축산관련 기관",0
"2014","제주","야생동물 구조센터",1
"2015","전국","계",230
"2015","전국","동물병원",202
"2015","전국","관리단체 또는 축산관련 기관",7
"2015","전국","야생동물 구조센터",21
"2015","서울","계",23
"2015","서울","동물병원",21
"2015","서울","야생동물 구조센터",2
"2015","부산","계",14
"2015","부산","동물병원",13
"2015","부산","야생동물 구조센터",1
"2015","대구","계",10
"2015","대구","동물병원",9
"2015","대구","야생동물 구조센터",1
"2015","인천","계",4
"2015","인천","동물병원",4
"2015","광주","계",2
"2015","광주","동물병원",2
"2015","대전","계",5
"2015","대전","동물병원",5
"2015","울산","계",5
"2015","울산","동물병원",4
"2015","울산","야생동물 구조센터",1
"2015","세종","계",1
"2015","세종","동물병원",1
"2015","경기","계",26
"2015","경기","동물병원",24
"2015","경기","야생동물 구조센터",2
"2015","강원","계",20
"2015","강원","동물병원",12
"2015","강원","관리단체 또는 축산관련 기관",5
"2015","강원","야생동물 구조센터",3
"2015","충북","계",8
"2015","충북","동물병원",5
"2015","충북","관리단체 또는 축산관련 기관",2
"2015","충북","야생동물 구조센터",1
"2015","충남","계",19
"2015","충남","동물병원",17
"2015","충남","야생동물 구조센터",2
"2015","전북","계",19
"2015","전북","동물병원",17
"2015","전북","야생동물 구조센터",2
"2015","전남","계",17
"2015","전남","동물병원",15
"2015","전남","야생동물 구조센터",2
"2015","경북","계",32
"2015","경북","동물병원",30
"2015","경북","야생동물 구조센터",2
"2015","경남","계",20
"2015","경남","동물병원",19
"2015","경남","야생동물 구조센터",1
"2015","제주","계",5
"2015","제주","동물병원",4
"2015","제주","야생동물 구조센터",1
"2016","전국","계",224
"2016","전국","동물병원",193
"2016","전국","관리단체 또는 축산관련 기관",9
"2016","전국","야생동물 구조센터",22
"2016","서울","계",22
"2016","서울","동물병원",20
"2016","서울","관리단체 또는 축산관련 기관",-
"2016","서울","야생동물 구조센터",2
"2016","부산","계",14
"2016","부산","동물병원",13
"2016","부산","관리단체 또는 축산관련 기관",-
"2016","부산","야생동물 구조센터",1
"2016","대구","계",10
"2016","대구","동물병원",9
"2016","대구","관리단체 또는 축산관련 기관",-
"2016","대구","야생동물 구조센터",1
"2016","인천","계",4
