"통계분류(1)",통계분류(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"통계분류(1)",통계분류(2),자연 및 풍경감상,음식관광,야외 위락 및 스포츠 레포츠 활동,역사 유적지 방문,테마파크 놀이시설 동/식물원 방문,휴식/휴양,온천/스파,쇼핑,지역 문화예술/공연/전시시설 관람,스포츠 경기관람,지역 축제/이벤트 참가,교육/체험 프로그램 참가,종교/성지순례,카지노 경마 경륜 등,시티투어,드라마 촬영지 방문,유흥/오락,가족/친지/친구 방문,회의참가/시찰,교육/훈련/연수,기타,자연 및 풍경감상,음식관광,야외 위락 및 스포츠 레포츠 활동,역사 유적지 방문,테마파크 놀이시설 동/식물원 방문,휴식/휴양,온천/스파,쇼핑,지역 문화예술/공연/전시시설 관람,스포츠 경기관람,지역 축제/이벤트 참가,교육/체험 프로그램 참가,종교/성지순례,카지노 경마 경륜 등,시티투어,드라마 촬영지 방문,유흥/오락,가족/친지/친구 방문,회의참가/시찰,교육/훈련/연수,기타,자연 및 풍경감상,음식관광,야외 위락 및 스포츠 레포츠 활동,역사 유적지 방문,테마파크 놀이시설 동/식물원 방문,휴식/휴양,온천/스파,쇼핑,지역 문화예술/공연/전시시설 관람,스포츠 경기관람,지역 축제/이벤트 참가,교육/체험 프로그램 참가,종교/성지순례,카지노 경마 경륜 등,시티투어,드라마 촬영지 방문,유흥/오락,가족/친지/친구 방문,회의참가/시찰,교육/훈련/연수,기타
"직업",전업주부,69.2,57.3,4.7,9.1,5.9,53.9,9.2,6.3,6.7,0.3,8.7,2,2.6,0.1,6.4,2.5,3.9,12.6,0,0.8,0.3,77.2,53,3,9.8,7.7,56.1,5.7,7.9,4.8,0.2,5.3,2.2,3.9,-,5.8,3.9,1.7,16.9,0.2,0.3,1.4,78.9,55.5,3.8,10.1,6.6,56,4.4,9.6,3.9,-,1.8,1,3,0.1,5.9,3.3,1.6,22.4,0.2,0.1,0.5
"직업",학생,57,54.4,9.6,9.7,15.4,46.1,2.8,11.4,7.3,0.4,6.4,2.7,1.1,0.1,11.4,4.6,9.7,10.3,0.4,1.8,0.5,66,46.4,6.6,9,12.4,48.2,1.2,9.6,4.4,0,5.3,2.1,1,0.1,4.7,5.7,5.8,14.1,0.2,0.9,2.1,71.7,53,6.6,8.6,9.3,54.8,1.5,11.8,4.2,0.1,1.5,1.2,1.4,-,7.7,4.3,4.3,15,0.3,0.5,0.3
"직업",무직은퇴,69.3,57.6,5.2,8.8,4.8,54.3,6.5,6.1,5.2,0.4,3.6,1,3.8,0.2,8.3,2.8,2.1,12.9,0.6,0.3,0.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업",기타,55.8,58.3,6.5,6.8,6.8,46.9,7.4,12.6,4,-,6.3,2.5,1.5,0.6,8.8,3.2,9.8,13.2,-,0.3,0.4,70.1,50.2,3.6,12.9,5.7,58,5.3,7.7,3.7,0.3,3.5,0.7,2.8,0.1,4.4,3.7,4.6,15.6,0.4,0.4,2.6,72.4,46.9,6.9,5.7,4.4,51.3,2.4,6.1,1.4,-,1.1,0.8,2.3,0.5,4.4,2,3.9,19.9,0.3,0.6,1.6
"학력",초졸 이하,68.1,50.1,2,11.3,2.7,39.5,6.3,5.2,11.3,0.3,12.7,1.1,6.6,0.9,3,2.9,1.4,19.8,0.5,0.7,0.8,75,53.4,2.3,10.7,3.7,51.5,4.2,5.3,3.1,0,5,0.5,4.1,0.1,3.3,4.4,1.9,21.6,1.2,0.4,1.6,72.5,57,1.6,5.1,1.6,55.6,6.4,3.9,1.7,-,1.1,0.3,2.4,-,3.2,3.2,3.3,33.2,2.2,-,2.4
"학력",중학교,65.2,57.4,3.6,9.3,4.6,48.1,6.1,6.2,4.6,0.1,8.7,0.9,4,0.1,6.6,2.2,3.7,13.8,0.1,0.8,0.2,73.5,52.5,2,10.9,6,55.2,5.5,7,3.5,0,4.7,1.2,3.4,-,4.1,4.1,1.7,18,0.6,0.2,1.4,66.8,50.1,4.7,9.8,2.6,48.4,3.9,8.8,3.3,-,1.6,0.2,3,-,2.6,4.9,1.6,32.2,0.3,0.6,0.1
"학력",고등학교,68.1,56.4,6,9,6.1,54.8,6.1,5.8,5.7,0.3,9.4,1.2,1.7,0.1,7.9,3.3,5.5,12,1.1,0.4,0.2,74.8,50.7,3.6,9.9,5.7,55.5,3.4,7.4,4,0.3,4.5,1.3,2.8,0,4.7,3.2,2.6,15.4,0.5,0.6,2.5,77.1,51.7,5.5,8.8,4.3,55.3,2.4,7.7,2.7,0,1.5,0.9,3.1,0.1,4.3,3.2,1.5,19.4,0.7,0.6,0.7
"학력",대학교이상,68.5,57.7,9.1,9.7,9,56.1,5,7.1,6.3,0.6,7.7,1.7,1.1,0.2,8.1,4.4,7.4,10.4,0.5,0.8,0.3,74.2,52.6,6.2,9.6,10.1,57.2,3.4,8.1,4.7,0.2,5,1.7,1.5,0.1,5.7,4.8,3.7,12,0.8,0.9,2,79.4,55.2,7.1,8.4,6.4,59.5,2.1,7.8,3.5,0.1,1.6,1.7,1.7,0.1,7,3.9,3,13.1,1.9,1.4,0.6
"가구원수",1인,69.5,56,7.5,10.5,6.2,54.3,5.7,5.7,5.5,0.2,7,0.9,3,0.2,7.4,3.7,6.4,10.7,0.5,0.8,0.2,75.6,51.5,5,9.5,6.4,56.7,3.8,6.8,4,0.5,4.1,1,2.8,0.1,4.9,4.1,2.9,14.7,0.7,0.5,2.4,77.9,56.4,6.5,7,3.9,61,2.5,6.6,3,0.1,1.7,1.2,2.4,0.1,6.6,4.2,3.5,16.2,1.4,0.9,0.7
"가구원수",2인,70.3,59.6,5.8,8.7,4.2,54.1,7.4,6.3,5.2,0.3,9.1,0.9,2.3,0.2,7.1,3.6,4.5,12.7,0.5,0.8,0.2,74.6,52.3,3.1,10.1,5.4,56,3.9,7.4,3.7,0.1,4.9,0.7,3.1,0,4.5,4.1,2.6,16.9,0.8,0.5,2,77.5,52,5.4,8.5,3,55.3,3.5,8.2,2.6,0,1.5,0.4,3,0.3,4.2,2.9,1.4,20.6,1.2,0.8,0.7
"가구원수",3인이상,67.2,56.4,7.9,9.5,8.8,55,4.9,6.7,6.4,0.6,8.6,1.7,1.2,0.2,8.2,3.9,6.9,11.1,0.8,0.6,0.2,74.2,51.9,5.4,9.8,9.2,56.3,3.4,7.9,4.6,0.2,4.9,1.8,1.7,0.1,5.5,4.2,3.4,12.8,0.6,0.9,2.1,78.3,53.9,6.6,8.9,6.6,57.6,1.9,7.9,3.4,0.1,1.5,1.7,1.9,0.1,6.3,3.8,2.6,14.9,1.5,1.2,0.6
"가구소득",100만원 미만,66.2,57.1,3.9,11.8,3.9,39,7.1,8.4,5.4,0.5,8.7,0.5,5.6,0.4,2.4,3.3,0.9,12.8,0.3,0.5,1.5,67.5,48.8,2.4,10.5,5.7,55.6,4.5,6.6,3,0.1,3.4,1.4,3.2,-,3.6,4.1,2.4,21.9,0.7,0.2,2.5,72.4,44.7,1.3,8.5,4.4,59.6,8,3.6,1.5,-,0.3,0.2,5,0.6,4.6,3,1.7,29,0.5,0.3,1.6
"가구소득",100~200만원 미만,66.3,59.4,2.9,8.7,3.7,48.2,7.5,5.1,6.3,0.4,6.9,1.5,2.7,0.3,3.6,2.9,4.5,15.7,0.3,0.3,0.2,73.4,47.8,2.5,10.2,4.9,55.2,4.4,7.1,3.2,0.3,5.3,1.1,4.2,0,3.5,3.8,2.2,18.4,0.4,0.2,1.9,71.7,51.3,3.1,7.4,3.3,51.3,4,8.6,2.1,-,1,0.5,2.5,0.2,2.4,1.8,3.1,28.1,0.2,0.2,0.8
"가구소득",200~300만원 미만,67.4,57.6,5.8,11.4,5.5,52,6.3,6.4,4.4,0.1,9.9,1.1,1.9,0.2,5.8,3.1,5.6,11,0.4,0.9,0.1,74.9,52.5,3.8,9.4,6.6,56.5,3.6,7.5,3.8,0.1,4.1,1.1,2.6,0.1,4,4.2,3.2,14.7,0.6,0.7,1.6,76.6,52.5,4.2,7.1,3.4,57.8,2,8.1,3.1,-,1.4,1.4,2.6,-,5.4,3.3,2,20.2,1.1,0.8,0.5
"가구소득",300~400만원 미만,68.2,55.5,6.7,8.6,7.5,53.3,5.2,7,6.1,0.7,7.9,1.4,1.5,0,6.8,3.7,5.2,12,0.7,0.6,0.3,74.4,49.6,4.6,9.5,8.4,56.9,3,7.9,5.8,0.3,4.9,1.9,2.2,0,5.2,4,2.9,13.9,0.6,0.9,2,77.8,53,5.5,7.8,5.2,59.5,2,8.4,3.4,0.1,1.7,1.4,2,0.1,5,3.5,1.9,18.1,1.7,1.3,0.6
"가구소득",400~500만원 미만,67.8,57.7,8.3,8.8,8.5,52.2,4.9,7,7.3,0.4,10.4,1.9,1.9,0.1,7.8,4,5.5,10.7,0.3,0.7,0.2,75.2,51.9,4.7,9.6,8.8,53.1,2.7,7.9,3.5,0.2,5.1,1.8,1.7,0.1,5.9,4.5,3,13.1,0.5,0.8,2.1,79.3,51.3,5.6,9.9,5.8,58,1.7,7.2,2.8,0,1.5,1,2.2,0,5.4,4.1,2.5,14.9,1.1,0.9,0.5
"가구소득",500~600만원 미만,69.4,55.4,8.4,9.5,7.6,56,5.8,5.6,6.1,0.4,7.9,1.3,1.6,0,9.1,3.6,7.9,10,0.4,0.8,0.1,74.3,54.8,5.3,10.2,8.1,57.5,4.1,7.9,4,0.2,4.7,1.2,1.8,0,5.7,3.6,3,12.9,0.7,0.6,2.5,79.9,55.7,6.9,8.3,5.8,56.3,2.5,7.4,3,0.1,1.2,1.4,1.8,0.2,5.9,4.1,3.3,13.5,1.7,1.1,0.2
"가구소득",600만원 이상,68.7,59.1,8.7,9.9,9.2,63.6,5,6.6,5.7,0.8,7.5,1.6,0.6,0.4,10.7,4.6,8.1,12,1.9,0.3,0.3,75,53.3,7.4,10.2,9.1,59,4.3,7.6,5.3,0.2,5.3,1.3,1.8,0.2,5.6,4.8,4.5,12.1,1.1,1,2.4,78,58.4,10.3,9.3,7.1,57.1,2.6,8.1,4,0.2,2,1.9,2.4,0.3,8.6,3.6,2.6,12.2,1.9,1.4,1.1
"가구소득",무응답,60.6,42.4,10.5,7.3,8,47.5,2.3,7,7,-,1.8,1,7.3,-,12.7,8.1,7.9,12.8,-,3.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
